Name,Telescope,Classification,RA,DEC,Redshift,u_redshift,"DM_MW,ISM",DM_obs,u_obs,Reference,Observation
FRB 20121102A,VLA,REPEAT,05:32:09.000,33:05:13.00,0.19273,(8),188.0,557.0,2.0,arXiv:1701.01098,
FRB 20171020A,ASKAP,NON_REPEAT,22:15:00.000,-19:40:00.00,0.0087,,37,114,0.2,arXiv:1810.04354,Very low redshift. It dosen't match with any SNe data. 
FRB 20180301A,VLA,REPEAT,06:12:43.400,04:33:44.80,0.3305,0.0,152.0,536.0,8.0,arXiv:2108.01282,
FRB 20180814,CHIME,REPEAT,04:22:09.6,73:37:47.9,0.068,,87.75,189.4,0.4,arXiv:2212.11941,
FRB 20180916B,EVN,REPEAT,01:56:40.800,65:44:24.00,0.0337 ,0.0002,200.0,348.80,0.2,arXiv:2001.02222,
FRB 20180924B,ASKAP,NON_REPEAT,21:44:25.255,-40:54:00.10,0.3214,(2),40.5,361.42,0.06,arXiv:1906.11476,
FRB 20181030,CHIME,REPEAT,10:33:24.0,73:47:24.0,0.0039,,41,103.5,0.3,arXiv:2108.12122,Very low redshift. It dosen't match with any SNe data.
FRB 20181112A,ASKAP,NON_REPEAT,21:49:23.630,-52:58:15.39,0.4755,(2),102.0,589.27,0.03,arXiv:1909.11681,
FRB 20181220A,CHIME,NON_REPEAT,23:07:02.400,48:16:48.00,0.2746,,122.81,208.66,1.62,arXiv:2310.10018,
FRB 20181223C,CHIME,NON_REPEAT,12:04:19.200,27:34:48.00,0.03024,,19.9,112.45,0.01,arXiv:2310.10018,
FRB 20190102C,ASKAP,NON_REPEAT,21:29:39.760,-79:28:32.50,0.2913,(2),57.3,363.6,0.3,arXiv:2005.13160,
FRB 20190110C,CHIME,REPEAT,16:27:60.000,41:23:24.00,0.12244,,37,221.92,0.01,arXiv:2301.08762,
FRB 20190303A,CHIME,REPEAT,13:52:19.200,48:15:00.00,0.064,,29.39,222.4,0.7,arXiv:2212.11941,
FRB 20190418A,CHIME,NON_REPEAT,04:23:26.400,16:03:00.00,0.07132,,70.2,182.78,1.62,arXiv:2310.10018,
FRB 20190425A,CHIME,NON_REPEAT,17:04:26.400,21:34:12.00,0.03122,,49.25,127.78,1.62,arXiv:2310.10018,
,,,,,,,,,,,
FRB 20190523A,DSA-110,NON_REPEAT,13:48:15.600,72:28:11.00,0.66,0.0,37.0,760.8,0.6,arXiv:2009.10747,
FRB 20190608B,ASKAP,NON_REPEAT,22:16:04.750,-07:53:53.60,0.1178,0.0,37.2,338.7,0.5,arXiv:2005.13158,
FRB 20190611B,ASKAP,NON_REPEAT,21:22:58.910,-79:23:51.30,0.378,0.0,57.83,321.4,0.2,arXiv:2009.10747,
,,,,,,,,,,,
FRB 20190711A,ASKAP,REPEAT,21:57:40.680,-80:21:28.80,0.522,0.0,56.4,593.1,0.4,arXiv:2009.10747,
FRB 20190714A,ASKAP,NON_REPEAT,12:15:54.000,-13:00:00.00,0.2365,0.0,38.0,504.13,2.0,arXiv:2009.10747,
FRB 20191001A,ASKAP,NON_REPEAT,21:32:00.000,-54:40:00.00,0.234,0.0,44.7,506.92,0.04,arXiv:2009.10747,
FRB 20191106C,CHIME,REPEAT,13:18:19.2,43:00:07.2,0.10775,,25,333.40,0.2,arXiv:2301.08762,
FRB 20191228A,ASKAP,NON_REPEAT,22:56:60.000,-29:46:00.00,0.2432,0.0,33.0,297.5,0.05,arXiv:2108.01282,
,,,,,,,,,,,
FRB 20200223B,CHIME,REPEAT,00:33:03.6,28:49:51.6,0.06024,,46,202.268,0.007,arXiv:2301.08762,
FRB 20200430A,CRAFT,NON_REPEAT,15:18:41.000,12:20:23.00,0.16,0.0,27.0,380.25,0.5,arXiv:2009.10747,
FRB 20200906A,CRAFT,NON_REPEAT,03:35:00.000,-14:04:00.00,0.3688,0.0,36,577.8,0.02,arXiv:2108.01282,
FRB 20201123A,MeerTRAP,NON_REPEAT,17:34:40.560,-50:46:02.00,0.0507,,251.93,433.55,0.0036,arXiv:2205.14600,
FRB 20201124A,CHIME,REPEAT,05:07:57.600,26:11:24.00,0.098,,123.2,413.52,0.5,arXiv:2106.09710,
,,,,,,,,,,,
FRB 20210320C,ASKAP,NON_REPEAT,13:37:56.0,-16:07:21.7,0.2797,,42.2,384.8,0.3,In preparation,FRBSTATS
,,,,,,,,,,,
FRB 20210410D,MeerTRAP,NON_REPEAT,21:44:20.700,-79:19:05.50,0.1415,,56.2,578.78,2.0,arXiv:2302.09754,
FRB 20210603A ,CHIME,,00:41:06.0,21:13:34.6,0.1772,0.0001,40.0,500.147,0.004,arXiv:2307.09502,
FRB 20210807D,CRAFT,NON_REPEAT,19:56:49.000,-00:48:51.40,0.12927,,121.2,251.9,0.2,https://ui.adsabs.harvard.edu/abs/2023TNSFR.470....1S/exportcitation,
FRB 20211127I,CRAFT,NON_REPEAT,13:19:09.500,-18:49:28.40,0.0469,,42.5,234.83,0.08,https://ui.adsabs.harvard.edu/abs/2023TNSFR.469....1S/exportcitation,
FRB 20211203C ,CRAFT,NON_REPEAT,13:37:52.800,-31:22:04.00,0.3439,,63.4,636.2,0.4,arXiv:2305.07022,
FRB 20211212A,CRAFT,NON_REPEAT,10:30:40.700,01:40:36.80,0.0715,,27.1,206.0,5.0,https://ui.adsabs.harvard.edu/abs/2023TNSFR.469....1S/exportcitation,
FRB 20220105A,CRAFT,NON_REPEAT,13:55:51.400,22:29:19.70,0.2785,,22.0,583,1.0,arXiv:2305.07022,
FRB 20220204A,DSA-110,NON_REPEAT,18:33:19.695,71:36:56.39,0.4,,50.7,612.2,0.05,arXiv:2409.16952,
FRB 20220207C,DSA-110,NON_REPEAT,20:40:47.886,72:52:56.38,0.043040,,79.3 ,262.38,0.01,arXiv:2307.03344,
FRB 20220208A,DSA-110,NON_REPEAT,21:17:23.603,71:32:24.01,0.351,,101.6,437,0.6,arXiv:2409.16952 ,arXiv:2308.06813
FRB 20220307B,DSA-110,NON_REPEAT,23:23:29.879,72:11:32.59,0.248123,,135.7 ,499.27 ,0.06,arXiv:2307.03344,
FRB 20220310F,DSA-110,NON_REPEAT,08:58:52.920,73:29:27.00,0.477958,,45.4 ,462.24,0.005,arXiv:2307.03344,
,,,,,,,,,,,
FRB 20220330D ,DSA-110,NON_REPEAT,11:02:54.143,71:45:12.62,0.3714,,38.6,468.1,0.85,arXiv:2409.16952  ,arXiv:2308.06813
FRB 20220418A,DSA-110,NON_REPEAT,14:36:25.338,70:05:45.40,0.622000,,37.6 ,623.25,0.01,arXiv:2307.03344,
FRB 20220501C,CRAFT,,23:29:50.000,-32:27:00.00,0.381,,31,449.5,0.2,arXiv:2408.02083,
FRB 20220506D,DSA-110,NON_REPEAT,21:12:10.760,72:49:38.20,0.30039 ,,89.1,396.97,0.02,arXiv:2307.03344,
FRB 20220509G,DSA-110,NON_REPEAT,18:50:40.800,70:14:37.80,0.089400,,55.2,269.53,0.02,arXiv:2307.03344,
FRB 20220529A,CHIME,REPEAT,01:16:25.014,20:37:56.6,0.1839,,40,246,,arXiv:2410.03994,
FRB 20220610A,CRAFT,NON_REPEAT,23:23:60.000,-33:31:00.00,1.016,0.002,31.0,1458.15,0.2,arXiv:2210.04680,
FRB 20220717A,MeerTRAP,,19:33:12.920,-19:17:15.30,0.36295,,118,637.34,3.52,arXiv:2407.02173,
FRB 20220725A,CRAFT,NON_REPEAT,22:26:60.000,34:52:60.00,0.1926,,31,290.4,0.3,arXiv:2408.02083,
FRB 20220726A,DSA-110,NON_REPEAT,05:00:25.389,71:36:06.54,0.361,,89.5,686.55,0.01,arXiv:2409.16952  ,arXiv:2308.06813
FRB 20220825A,DSA-110,NON_REPEAT,20:47:55.548,72:35:05.89,0.241397,,79.7,651.24,0.06,arXiv:2307.03344,
FRB 20220831A ,DSA-110,NON_REPEAT,22:12:20.493,71:32:15.19,0.262,,1019.50,1146.25,0.2,arXiv:2409.16952  ,arXiv:2308.06813
FRB 20220912A,CHIME,REPEAT,23:09:10.296,48:41:56.40,0.0771,0.0001,125.00,219.46,0.042,arXiv:2211.09049,
FRB 20220914A,DSA-110,NON_REPEAT,18:48:13.630,73:20:12.89,0.113900 ,,55.2,631.28,0.04,arXiv:2307.03344,
FRB 20220918A,CRAFT,NON_REPEAT,01:10:57.900,-70:47:05.90,0.491,,41,656.8,0.8,arXiv:2408.02083,
FRB 20220920A,DSA-110,NON_REPEAT,16:01:01.700,70:55:07.68,0.158239,,40.3,314.99 ,0.01,arXiv:2307.03344,
FRB 20221012A,DSA-110,NON_REPEAT,18:43:11.690,70:31:27.15,0.284669,,54.4,441.08,0.7,arXiv:2307.03344,
FRB 20221027A ,DSA-110,NON_REPEAT,08:38:26.496,71:43:53.32,0.229,,47.2,452.5,,arXiv:2409.16952  ,
FRB 20221029A,DSA-110,NON_REPEAT,09:35:20.422,71:45:10.54,0.9750,,43.9,1391.05,,arXiv:2409.16952  ,
FRB 20221101B,DSA-110,NON_REPEAT,22:45:50.137,71:31:46.30,0.2395,,131.2,490.7,,arXiv:2409.16952  ,
FRB 20221106A,CRAFT,NON_REPEAT,03:46:38.100,-25:39:44.90,0.2044,,35,343.8,0.8,arXiv:2408.02083,
FRB 20221113A,DSA-110,NON_REPEAT,04:51:21.753,71:36:47.18,0.2505,,91.7,411.4,,arXiv:2409.16952  ,
FRB 20221116A ,DSA-110,NON_REPEAT,01:10:38.801,71:31:43.80,0.2764,,132.3,640.6,,arXiv:2409.16952  ,
FRB 20221219A ,DSA-110,NON_REPEAT,17:03:06.545,71:40:54.02,0.554,,44.4,706.7,0.6,arXiv:2405.14182,
FRB 20230124 ,DSA-110,NON_REPEAT,15:27:40.0,70:58:05.20,0.094,,38.5,590.6,,arXiv:2409.16952  ,
41:48:51.48,CHIME,,10:06:39.428,35:41:38.10,0.1464,,36.29,420.1,,arXiv:2502.11217,
FRB 20230216A ,DSA-110,NON_REPEAT,10:23:53.212,01:28:04.01,0.5310,,38.5,828,,arXiv:2409.16952  ,
FRB 20230222A,CHIME,,07:07:51.314,11:13:27.27,0.1223,,134.13,706.1,,arXiv:2502.11217,
FRB 20230222B,CHIME,,15:54:56.946,30:53:55.53,0.11,,27.7,187.8,,arXiv:2502.11217,
FRB 20230307A ,DSA-110,NON_REPEAT,12:11:17.053,71:46:44.16,0.2710,,37.6,608.9,,arXiv:2409.16952  ,
FRB 20230311A,CHIME,,06:04:26.32,55:56:45.42,0.1918,,92.39,364.3,,arXiv:2502.11217,
FRB 20230501A ,DSA-110,NON_REPEAT,22:34:12.828,71:31:44.97,0.3010,,125.6,532.50,,arXiv:2409.16952  ,
FRB 20230521B,DSA-110,NON_REPEAT,23:18:42.840,71:31:19.07,1.354,,138.8,1342.90,,arXiv:2409.16952  ,
FRB 20230526A,CRAFT,NON_REPEAT,01:29:27.500,-52:46:07.70,0.1570,,50,361.4,0.2,arXiv:2408.02083,
FRB 20230626A ,DSA-110,NON_REPEAT,16:02:51.004,71:42:50.97,0.327,,39.2,451.2,,arXiv:2409.16952  ,
FRB 20230628A,DSA-110,NON_REPEAT,10:47:35.973,71:46:28.06,0.1265,,39.1,345.15,,arXiv:2409.16952  ,
FRB 20230703A,CHIME,,12:18:34.127,48:43:44.10,0.1184,,26.97,291.3,,arXiv:2502.11217,
FRB 20230708A,CRAFT,NON_REPEAT,20:12:56.900,-55:22:50.40,0.105,,50,411.51,0.05,arXiv:2408.02083,
FRB 20230712A,DSA-110,NON_REPEAT,11:22:50.688,71:46:45.75,0.4525,,39.2,586.96,,arXiv:2409.16952  ,
FRB 20230718A,CRAFT,NON_REPEAT,08:30:27.100,-41:00:12.80,0.035,,396,477.0,0.5,arXiv:2408.02083,
FRB 20230730A,CHIME,,03:38:39.942,33:09:33.21,0.2115,,85.18,312.5,,arXiv:2502.11217,
FRB 20230814A,DSA-110,NON_REPEAT,22:23:53.900,73:01:33.30,0.5535,,104.9,696.35,0.5,arXiv:2409.16952  ,
FRB 20230902A,CRAFT,NON_REPEAT,03:29:28.100,-47:33:45.50,0.3619,,34,440.1,0.1,arXiv:2408.02083,
FRB 20230926A,CHIME,,17:56:29.97,41:48:51.48,0.0553,,52.69,222.8,,arXiv:2502.11217,
FRB 20231005A,CHIME,,16:24:6.72,35:26:55.36,0.0713,,33.37,189.4,,arXiv:2502.11217,
FRB 20231011A,CHIME,,1:12:57.86,41:44:56.76,0.0783,,70.36,186.3,,arXiv:2502.11217,
FRB 20231017A ,CHIME,,23:7:1.03,36:39:9.65,0.245,,64.55,344.2,,arXiv:2502.11217,
FRB 20231025B,CHIME,,18:3:9.14,63:59:20.69,0.3238,,48.67,368.7,,arXiv:2502.11217,
FRB 20231120A ,DSA-110,NON_REPEAT,09:34:28.058,71:45:26.71,0.07,,43.8,438.9,,arXiv:2409.16952  ,
FRB 20231123A,DSA-110,,16:02:15.952,71:42:56.08,0.0729,,89.76,302.1,,arXiv:2502.11217,
FRB 20231123B ,DSA-110,NON_REPEAT,16:10:09.0,70:47:06.20,0.2625,,40.2,396.7,,arXiv:2409.16952  ,
FRB 20231128A,CHIME,,13:18:18.77,42:59:33.76,0.1079,,25.05,331.6,,arXiv:2502.11217,
FRB 20231201A,CHIME,,03:38:21.43,26:49:3.61,0.1119,,70.03,169.4,,arXiv:2502.11217,
FRB 20231204A,CHIME,,13:51:59.77,48:06:57.60,0.0644,,29.73,221.0,,arXiv:2502.11217,
FRB 20231206A,CHIME,,07:29:46.28,56:15:22.57,0.0659,,59.13,457.7,,arXiv:2502.11217,
FRB 20231220A,DSA-110,NON_REPEAT,08:08:49.305,71:43:18.17,0.3355,,49.9,491.20,,arXiv:2409.16952  ,
FRB 20231223C,CHIME,,17:18:10.72,29:29:52.58,0.1059,,47.9,165.8,,arXiv:2502.11217,
FRB 20231226A,CRAFT,NON_REPEAT,10:21:07.600,06:07:45.90,0.1569,,145,329.9,0.1,arXiv:2408.02083,
FRB 20231229A,CHIME,,01:45:52.28,35:06:46.51,0.0190,,58.12,198.5,,arXiv:2502.11217,Redhisft lower compared to SNe in Pantheon catalogue. 
FRB 20231230A,CHIME,,04:51:11.42,02:23:38.33,0.0298,,61.51,131.4,,arXiv:2502.11217,
FRB 20240114A,CHIME,REPEAT,21:28:16.869,04:29:02.60,0.13,0.0002,49.7,527.65,0.01,arXiv:2408.10988,
FRB 20240119A,DSA-110,NON_REPEAT,14:32:28.067,71:45:19.55,0.37,,37.9,483.10,,arXiv:2409.16952  ,The redshift is photometric.
FRB 20240123A,DSA-110,NON_REPEAT,04:24:32.161,71:35:47.37,0.9680,,90.3,1462.0,,arXiv:2409.16952  ,
FRB 20240201A,CRAFT,NON_REPEAT,10:01:49.110,13:54:48.53,0.042729,,38,374.5,0.2,arXiv:2408.02083,
FRB 20240209A,CHIME,NON_REPEAT,19:19:40.0,86:03:44.28,0.1384,,55.5,176.49,0.01,arXiv:2410.23374,
FRB 20240210A,CRAFT,NON_REPEAT,00:39:55.040,-27:39:34.78,0.023686,,31,283.73,0.05,arXiv:2408.02083,
FRB 20240213A,DSA-110,NON_REPEAT,10:35:02.703,71:46:31.29,0.1185,,40.1,357.4,,arXiv:2409.16952  ,
FRB 20240215A ,DSA-110,NON_REPEAT,17:53:43.990,71:39:14.28,0.21,,48.0,549.5,,arXiv:2409.16952  ,
FRB 20240229A,DSA-110,NON_REPEAT,11:34:56.311,71:47:01.68,0.2870,,37.9,491.15,,arXiv:2409.16952  ,The redshift is photometric.
FRB 20240310A,CRAFT,NON_REPEAT,01:10:57.700,-44:24:05.24,0.1270,,36,601.8,0.2,arXiv:2408.02083,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Legend: ,,,,,,,,,,,
We use in some paper,,,,,,,,,,,
We can not use ,,,,,,,,,,,
Testing,,,,,,,,,,,
I haven't tested yet,,,,,,,,,,,